"date","Manipur/Bishnupur","Manipur/CAPF PErsonnel","Manipur/CAPF Personnel","Manipur/CAPF Personnel ","Manipur/CAPF personnel","Manipur/Chandel","Manipur/Churachandpur","Manipur/Imphal East","Manipur/Imphal West","Manipur/Jiribam","Manipur/Kakching","Manipur/Kamjong","Manipur/Kangpokpi","Manipur/Meitram","Manipur/Noney","Manipur/Pherzawl","Manipur/Senapati","Manipur/Tamenglong","Manipur/Tengnoupal","Manipur/Thoubal","Manipur/Ukhrul","Manipur/kasom khulem","Manipur/teng"
"2021-06-17","  2.89 %","","   .00 %","","","  2.00 %","  1.51 %","  1.05 %","  1.37 %","","  2.22 %","","  3.05 %","","","   .00 %","   .00 %","   .00 %","   .00 %","  1.31 %","  2.97 %","",""
"2021-06-18","  2.40 %","","   .00 %","","","  2.00 %","  1.80 %","  1.04 %","  1.34 %"," 20.00 %","  2.18 %","   .00 %","  3.05 %","","   .00 %","","   .00 %","   .00 %","   .00 %","  1.04 %","  1.43 %","",""
"2021-06-19","  1.56 %","","   .00 %","","","  2.00 %","   .87 %","  1.03 %","  1.14 %"," 20.00 %","  2.54 %","   .00 %","  3.05 %","","","","   .00 %","   .00 %","   .00 %","   .25 %","  1.43 %","",""
"2021-06-20","  1.93 %","","","","","   .00 %","  1.16 %","  1.10 %","   .94 %","   .00 %","  2.49 %","   .00 %","  2.00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .75 %","  1.43 %","",""
"2021-06-21","  2.22 %","","","","","   .00 %","   .57 %","  1.19 %","   .75 %","","  2.44 %","","","","   .00 %","","  6.67 %","   .00 %","","   .74 %","  1.43 %","",""
"2021-06-22","  2.87 %","","   .00 %","","","   .00 %","   .85 %","   .75 %","   .74 %","   .00 %","  2.01 %","   .00 %","  2.91 %","","   .00 %","   .00 %","  6.67 %","   .00 %"," 10.00 %","   .98 %","   .00 %","",""
"2021-06-23","  2.82 %","","   .00 %","","","   .00 %","   .83 %","   .82 %","   .48 %","   .00 %","  1.59 %","   .00 %","   .91 %",""," 10.00 %","   .00 %","","   .00 %"," 10.00 %","   .98 %","   .00 %","",""
"2021-06-24","  3.15 %","","","","","  1.82 %","  1.10 %","   .73 %","   .54 %","","  1.53 %","","  1.78 %",""," 10.00 %","   .00 %","  6.67 %","  3.33 %"," 10.00 %","   .98 %","   .00 %","",""
"2021-06-25","  3.09 %","","","","","  1.82 %","   .82 %","   .65 %","   .54 %","   .00 %","  2.23 %","","  1.78 %",""," 10.00 %","","  6.67 %","  3.33 %"," 10.00 %","   .96 %","   .00 %","",""
"2021-06-26","  2.94 %","","   .00 %","","","  3.48 %","  1.09 %","   .96 %","   .60 %","   .00 %","  1.85 %","","  1.78 %","","","   .00 %","","  9.05 %"," 10.00 %","   .95 %","   .00 %","",""
"2021-06-27","  2.20 %","","   .00 %","","","  3.48 %","  2.13 %","  1.19 %","   .71 %","","  1.85 %","   .00 %","   .87 %","","","   .00 %","","  9.05 %","   .00 %","  1.17 %","   .00 %","",""
"2021-06-28","  2.17 %","","","","","  3.48 %","  3.58 %","  1.41 %","   .76 %","","  2.19 %","","  1.70 %","","","","  6.67 %","  9.05 %","   .00 %","  1.62 %","   .00 %","",""
"2021-06-29","  1.85 %","","","","","  3.21 %","  3.31 %","  1.32 %","   .99 %","   .00 %","  1.44 %","   .00 %","   .83 %",""," 10.00 %","   .00 %","   .00 %","","   .00 %","  2.28 %","   .00 %","",""
"2021-06-30","  2.11 %","","   .00 %","","","  3.21 %","  3.31 %","  1.47 %","  1.10 %","","   .68 %","   .00 %","   .83 %",""," 10.00 %","","   .00 %","  5.71 %","   .00 %","  1.80 %","   .00 %","",""
"2021-07-01","  1.74 %","","   .00 %","","","  1.54 %","  3.27 %","  1.29 %","  1.04 %"," 10.00 %","  1.35 %","","   .83 %","","   .00 %","","   .00 %","  5.71 %","   .00 %","  1.99 %","   .00 %","",""
"2021-07-02","  1.71 %","","   .00 %","","","  2.97 %","  1.96 %","  1.20 %","  1.08 %"," 10.00 %","  1.67 %","   .00 %","   .83 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.95 %","   .00 %","",""
"2021-07-03","  1.42 %","","   .00 %","","","  2.97 %","   .68 %","   .96 %","  1.07 %"," 10.00 %","  1.96 %","","   .80 %","","   .00 %","   .00 %","   .00 %","","   .00 %","  1.71 %","   .00 %","",""
"2021-07-04","  1.69 %","","   .00 %","","","  1.43 %","  1.12 %","  1.02 %","   .83 %"," 10.00 %","  1.96 %","","   .80 %","","","","   .00 %","   .00 %","  6.67 %","  1.05 %","   .00 %","",""
"2021-07-05","  1.11 %","","","","","  1.43 %","  1.12 %","   .87 %","   .88 %"," 10.00 %","  1.93 %","","   .80 %","","","","  5.00 %","   .00 %","  6.67 %","  1.05 %","  1.33 %","",""
"2021-07-06","   .81 %","","   .00 %","","","  1.43 %","   .89 %","  1.00 %","   .93 %","   .00 %","  1.27 %","   .00 %","  2.34 %","","   .00 %","   .00 %","  5.00 %","   .00 %","  6.67 %","  1.43 %","  1.33 %","",""
"2021-07-07","  1.59 %","","   .00 %","","","   .00 %","  1.10 %","  1.06 %","   .76 %","   .00 %","   .94 %","","  2.34 %","","   .00 %","","  5.00 %","   .00 %","  6.67 %","  1.01 %","  1.33 %","",""
"2021-07-08","  2.09 %","","   .00 %","","","   .00 %","  1.29 %","   .84 %","   .75 %","","   .61 %","   .00 %","  2.25 %","","   .00 %","   .00 %","","   .00 %","  6.67 %","  1.00 %","  1.33 %","",""
"2021-07-09","  1.82 %","","   .00 %","","","   .00 %","  1.06 %","   .91 %","   .75 %","   .00 %","  1.21 %","   .00 %","  2.94 %","","","","  5.00 %","   .00 %","   .00 %","  1.19 %","  1.33 %","",""
"2021-07-10","  2.31 %","","","","","   .00 %","  1.06 %","   .90 %","   .69 %","   .00 %","  1.19 %","   .00 %","  2.94 %","","   .00 %","   .00 %","  5.00 %","   .00 %","","  1.19 %","   .00 %","",""
"2021-07-11","  2.99 %","","","","","   .00 %","  1.26 %","   .69 %","   .68 %","   .00 %","  1.48 %","","  2.07 %","","","   .00 %","   .00 %","   .00 %"," 10.00 %","   .58 %","   .00 %","",""
"2021-07-12","  2.39 %","","","","","   .00 %","  1.45 %","   .48 %","   .99 %","   .00 %","  1.76 %","   .00 %","  2.07 %","","   .00 %","","   .00 %","   .00 %"," 10.00 %","   .77 %","   .00 %","",""
"2021-07-13","  2.78 %","","   .00 %","","","  2.67 %","  1.01 %","   .68 %","  1.03 %","   .00 %","  2.84 %","   .00 %","  2.00 %","","","   .00 %","   .00 %","   .00 %"," 10.00 %","   .76 %","   .00 %","",""
"2021-07-14","  3.42 %","","   .00 %","","","  2.67 %","  1.59 %","   .67 %","  1.12 %","   .00 %","  2.51 %","","  1.31 %","","   .00 %","","   .00 %","   .00 %"," 13.33 %","   .75 %","   .00 %","",""
"2021-07-15","  3.55 %","","","","","  2.67 %","  2.16 %","   .60 %","  1.21 %","","  2.47 %","   .00 %","  2.56 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 13.33 %","   .75 %","   .00 %","",""
"2021-07-16","  2.60 %","","   .00 %","","","  2.67 %","  1.95 %","   .73 %","  1.31 %","  6.67 %","  2.19 %","","  2.48 %","","","","   .00 %","   .00 %","  3.33 %","   .56 %","   .00 %","",""
"2021-07-17","  2.55 %","","","","","  2.67 %","  2.10 %","   .73 %","  1.18 %"," 11.67 %","  2.16 %","   .00 %","  2.48 %","","","   .00 %","   .00 %","   .00 %","  3.33 %","   .56 %","   .00 %","",""
"2021-07-18","  2.05 %","","","","","  2.35 %","  1.90 %","   .72 %","  1.07 %"," 11.67 %","  1.02 %","   .00 %","  1.84 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .37 %","   .00 %","",""
"2021-07-19","  1.60 %","","   .00 %","","","  3.41 %","  1.83 %","   .58 %","  1.11 %","","  1.01 %","   .00 %","  2.98 %","","","   .00 %","   .00 %","   .00 %","  3.33 %","   .37 %","   .00 %","",""
